YEAR,MONTH,DAY_WEEK,HOUR,Time_ID
2016,1,2,12,1
2016,1,2,19,2
2016,1,3,6,3
2016,1,6,20,4
2016,1,2,8,5
2016,1,4,15,6
2016,1,6,13,7
2016,1,2,17,8
2016,1,5,18,9
2016,1,6,0,10
2016,1,1,12,11
2016,1,2,16,12
2016,1,6,18,13
2016,1,7,16,14
2016,1,6,11,15
2016,1,4,10,16
2016,1,6,10,17
2016,1,4,17,18
2016,1,5,12,19
2016,1,5,14,20
2016,1,2,11,21
2016,1,6,7,22
2016,1,5,20,23
2016,1,6,12,24
2016,1,3,12,25
2016,1,2,15,26
2016,1,2,10,27
2016,1,1,15,28
2016,1,1,19,29
2016,1,1,16,30
2016,1,4,7,31
2016,1,3,15,32
2016,1,7,12,33
2016,1,6,19,34
2016,1,5,17,35
2016,1,1,18,36
2016,1,5,22,37
2016,1,1,9,38
2016,1,1,13,39
2016,1,6,16,40
2016,1,6,15,41
2016,1,4,13,42
2016,1,4,16,43
2016,1,6,5,44
2016,1,1,3,45
2016,1,3,16,46
2016,1,5,8,47
2016,1,4,8,48
2016,1,5,23,49
2016,1,7,14,50
2016,1,6,3,51
2016,1,7,13,52
2016,1,6,2,53
2016,1,3,8,54
2016,1,6,14,55
2016,1,4,14,56
2016,1,4,18,57
2016,1,1,14,58
2016,1,7,3,59
2016,1,1,17,60
2016,1,1,11,61
2016,1,4,12,62
2016,1,7,22,63
2016,1,1,8,64
2016,1,3,14,65
2016,1,2,18,66
2016,1,5,21,67
2016,1,2,7,68
2016,1,3,13,69
2016,1,4,6,70
2016,1,5,11,71
2016,1,6,17,72
2016,1,6,23,73
2016,1,3,17,74
2016,1,5,16,75
2016,1,4,20,76
2016,1,2,14,77
2016,1,5,15,78
2016,1,7,10,79
2016,1,2,9,80
2016,1,1,6,81
2016,1,3,9,82
2016,1,6,8,83
2016,1,7,20,84
2016,1,5,6,85
2016,1,4,23,86
2016,1,3,19,87
2016,1,4,21,88
2016,1,4,9,89
2016,1,5,4,90
2016,1,1,4,91
2016,1,2,23,92
2016,1,3,7,93
2016,1,5,7,94
2016,1,5,10,95
2016,1,7,2,96
2016,1,2,13,97
2016,1,5,1,98
2016,1,5,13,99
2016,1,3,5,100
2016,1,4,5,101
2016,1,3,18,102
2016,1,6,22,103
2016,1,7,21,104
2016,1,7,0,105
2016,1,7,1,106
2016,1,2,20,107
2016,1,1,5,108
2016,1,2,3,109
2016,1,4,3,110
2016,4,6,6,111
2016,1,3,11,112
2016,1,7,18,113
2016,1,5,9,114
2016,1,1,10,115
2016,1,2,6,116
2016,1,7,6,117
2016,1,7,4,118
2016,1,6,9,119
2016,1,7,9,120
2016,1,5,5,121
2016,1,7,7,122
2016,1,4,19,123
2016,1,1,20,124
2016,1,7,15,125
2016,2,3,14,126
2016,2,4,8,127
2016,2,6,16,128
2016,2,7,2,129
2016,1,1,23,130
2016,2,5,20,131
2016,2,5,6,132
2016,1,5,2,133
2016,2,7,10,134
2016,2,3,4,135
2016,2,4,19,136
2016,2,4,20,137
2016,2,6,6,138
2016,2,3,8,139
2016,2,6,18,140
2016,2,1,3,141
2016,2,2,11,142
2016,2,2,16,143
2016,2,2,18,144
2016,2,3,12,145
2016,2,3,13,146
2016,2,4,12,147
2016,2,4,21,148
2016,2,5,7,149
2016,2,5,19,150
2016,2,6,12,151
2016,2,2,12,152
2016,2,5,11,153
2016,2,6,1,154
2016,1,3,21,155
2016,1,3,22,156
2016,2,3,16,157
2016,2,7,14,158
2016,2,3,7,159
2016,2,1,10,160
2016,2,1,20,161
2016,2,3,18,162
2016,2,2,14,163
2016,2,6,2,164
2016,2,5,5,165
2016,2,4,23,166
2016,2,6,21,167
2016,2,1,23,168
2016,2,1,14,169
2016,2,3,17,170
2016,2,5,8,171
2016,2,6,8,172
2016,2,1,22,173
2016,2,1,11,174
2016,2,1,17,175
2016,2,2,19,176
2016,2,3,9,177
2016,2,3,15,178
2016,2,4,0,179
2016,2,4,18,180
2016,2,5,14,181
2016,2,6,14,182
2016,2,7,16,183
2016,1,7,19,184
2016,2,3,2,185
2016,2,4,13,186
2016,2,1,12,187
2016,2,5,17,188
2016,2,2,5,189
2016,2,2,17,190
2016,1,7,17,191
2016,1,1,2,192
2016,1,6,1,193
2016,1,3,3,194
2016,2,5,16,195
2016,2,5,9,196
2016,2,5,13,197
2016,2,4,15,198
2016,2,5,15,199
2016,2,4,16,200
2016,2,2,13,201
2016,2,7,9,202
2016,2,7,15,203
2016,2,4,17,204
2016,2,5,21,205
2016,2,6,17,206
2016,2,1,13,207
2016,2,2,21,208
2016,2,4,9,209
2016,2,6,0,210
2016,2,6,13,211
2016,2,4,10,212
2016,2,4,7,213
2016,2,1,5,214
2016,2,1,15,215
2016,2,3,1,216
2016,2,4,6,217
2016,2,5,12,218
2016,2,7,22,219
2016,1,4,11,220
2016,1,1,21,221
2016,1,6,21,222
2016,1,2,2,223
2016,2,3,21,224
2016,2,3,20,225
2016,1,2,21,226
2016,1,3,23,227
2016,1,7,23,228
2016,1,6,6,229
2016,2,2,7,230
2016,2,6,22,231
2016,2,7,19,232
2016,2,2,20,233
2016,2,6,11,234
2016,2,2,10,235
2016,2,2,15,236
2016,2,1,19,237
2016,2,7,17,238
2016,2,4,11,239
2016,2,3,11,240
2016,2,5,18,241
2016,2,6,15,242
2016,2,7,12,243
2016,1,7,11,244
2016,1,2,1,245
2016,1,4,22,246
2016,1,1,1,247
2016,1,3,20,248
2016,2,6,10,249
2016,1,3,10,250
2016,2,1,18,251
2016,1,5,19,252
2016,1,5,0,253
2016,1,1,7,254
2016,1,2,0,255
2016,2,4,1,256
2016,2,5,10,257
2016,2,7,6,258
2016,2,1,0,259
2016,1,2,5,260
2016,1,7,5,261
2016,3,3,18,262
2016,3,3,20,263
2016,2,7,23,264
2016,1,1,22,265
2016,2,1,9,266
2016,2,7,20,267
2016,2,2,9,268
2016,2,3,6,269
2016,2,6,7,270
2016,1,4,0,271
2016,2,3,10,272
2016,2,4,14,273
2016,2,6,19,274
2016,3,6,18,275
2016,3,3,16,276
2016,3,7,4,277
2016,2,2,6,278
