CASENUM,VE_TOTAL,NUM_INJ,Env_ID,Time_ID
201600014311,2,0,1,1
201600014315,2,4,2,2
201600014316,1,1,2,3
201600014335,2,0,3,4
201600014586,1,1,1,5
201600014593,2,0,1,6
201600014603,4,1,1,7
201600014610,2,1,1,8
201600014622,2,0,2,9
201600014624,1,1,2,10
201600015222,2,0,1,11
201600015227,3,1,4,12
201600015251,2,99,1,1
201600015256,2,0,2,13
201600015257,1,1,1,14
201600015268,1,1,1,15
201600015305,1,0,5,16
201600015805,2,2,1,17
201600015883,1,1,6,18
201600015924,2,1,1,6
201600015934,2,0,7,19
201600015940,1,0,7,20
201600015944,2,2,1,21
201600015948,2,0,1,22
201600015958,1,1,2,23
201600015960,2,2,8,18
201600015967,3,0,9,24
201600016011,2,0,1,25
201600016014,2,0,1,26
201600016016,2,0,1,27
201600016018,3,4,1,28
201600016026,1,1,2,29
201600016027,2,2,1,30
201600016163,2,0,1,31
201600016164,2,2,1,7
201600016166,2,2,1,32
201600016167,2,1,1,33
201600016169,1,0,7,14
201600016171,2,0,10,34
201600016175,2,1,10,13
201600016176,2,1,7,35
201600016184,2,1,4,36
201600016195,2,0,11,24
201600016200,2,3,1,20
201600016203,1,0,10,37
201600016215,3,1,1,38
201600016218,2,0,1,39
201600016237,2,0,12,40
201600016254,1,1,1,15
201600016258,2,1,1,40
201600016261,2,0,2,40
201600016301,2,1,7,41
201600016319,2,0,1,42
201600016321,2,1,1,43
201600016323,1,99,2,44
201600016343,2,1,1,7
201600016363,2,0,2,45
201600016366,2,1,1,30
201600016371,2,1,2,46
201600016399,2,0,1,47
201600016403,2,1,1,6
201600016410,2,0,1,48
201600016422,2,1,13,49
201600016430,2,1,10,37
201600016442,2,0,1,50
201600016448,1,1,2,51
201600016454,2,0,1,52
201600016488,2,1,2,3
201600016493,1,1,1,33
201600016502,4,0,10,53
201600016551,2,0,11,54
201600016581,2,1,1,55
201600016594,2,0,11,56
201600016608,2,0,1,52
201600016637,2,0,1,31
201600016644,2,1,2,57
201600016648,1,1,1,58
201600016762,2,1,2,59
201600016836,2,1,2,10
